quarter_date,rank,permno,permco,ticker,comnam,mcap
2018-07-01,16,66093,21645,T,A T & T INC,235980123000.0
2018-07-01,17,59328,2367,INTC,INTEL CORP,231472200000.0
2018-07-01,18,66181,5085,HD,HOME DEPOT INC,223810606880.00003
2018-07-01,19,21936,21394,PFE,PFIZER INC,212514914429.99997
2018-07-01,20,65875,20288,VZ,VERIZON COMMUNICATIONS INC,208330246740.0
2018-07-01,21,91233,50700,MA,MASTERCARD INC,203638645649.99997
2018-07-01,22,76076,10486,CSCO,CISCO SYSTEMS INC,201330378420.00003
2018-07-01,23,18163,21446,PG,PROCTER & GAMBLE CO,196465619869.99997
2018-07-01,24,19561,20315,BA,BOEING CO,195793816654.19
2018-07-01,25,11308,20468,KO,COCA COLA CO,186167756250.0
2018-07-01,26,10104,8045,ORCL,ORACLE CORP,178952917250.0
2018-07-01,27,89393,43145,NFLX,NETFLIX INC,173390662085.41998
2018-07-01,28,70519,20483,C,CITIGROUP INC,171253500280.0
